param,Parent,C0-13,C1-13,O2-18,H3-2,H4-2,H5-2,H6-2,unit
A_ram,1.890830925634861,1.8543612212072733,1.885722702746094,1.8703805305851673,1.5006145089059886,1.621977082683039,1.7420248331703911,1.7420615833978996,cm-1
B_ram,0.3368180638867963,0.33668359799208364,0.3266733525662491,0.3206313910063666,0.33611795182334064,0.3275412249942615,0.3115684839850662,0.31156763128004517,cm-1
C_ram,0.3027599184735161,0.30173300880759657,0.29436798715903867,0.2891597158956355,0.29062340780548857,0.2873240907615952,0.2857532535699366,0.2857507816732292,cm-1
D_ab,0.14283322800550444,0.1422690909688355,0.13676375273102442,0.14043380023421423,0.13986531617096876,0.07809817645295215,0.1609509688515404,0.16097117763095187,cm-1
D_bc,5.427435957958079e-10,5.091656453217511e-10,4.523510231567318e-10,5.125053051570785e-10,-2.1111300821818722e-12,4.841052967308209e-08,-0.00033068386597400525,0.00033059898772147474,cm-1
D_ac,-8.07836925533302e-08,-7.321210973334958e-08,-7.210186329573611e-08,-7.974829544116334e-08,2.0268503272713542e-10,-9.963315794751847e-06,0.04012366511453507,-0.04011013886826861,cm-1
C0,12.0,13.00335483534,12.0,12.0,12.0,12.0,12.0,12.0,amu
C1,12.0,12.0,13.00335483534,12.0,12.0,12.0,12.0,12.0,amu
O2,15.99491461926,15.99491461926,15.99491461926,17.99915961214,15.99491461926,15.99491461926,15.99491461926,15.99491461926,amu
H3,1.007825031898,1.007825031898,1.007825031898,1.007825031898,2.014101777844,1.007825031898,1.007825031898,1.007825031898,amu
H4,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,2.014101777844,1.007825031898,1.007825031898,amu
H5,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,2.014101777844,1.007825031898,amu
H6,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,1.007825031898,2.014101777844,amu
f_a,0.9759673366532864,0.0104560883045531,0.0104560883045531,0.0020007149407620228,0.00014153578650376956,0.00014153578650376956,0.00014153578650376956,0.00014153578650376956,
